ID,"Submit Year","Start Year",Title,Description,Institution,Investigators,Discipline
1004557,,2012,"Get set for success: Using online assessments to motivate first year engineering students to engage in and manage their learning",,"University of Technology, Sydney","David Lowe; Dr Timothy A Aubrey",
DP1092933,2009,2010,"New Valuation and Parallel Simulation Methods for Finance and Insurance","A new generation of efficient parallel simulation technology will be developed for complex, high-dimensional valuation problems in the finance and insurance sector. Platen s innovative benchmark approach addresses a fundamental empirical inconsistency of modern finance,  leading to serious overpricing. This new paradigm will be extended to insurance and other areas of risk management, demonstrating that many insurance and superannuation products can be created for less than half the currently marketed price. The proposed breakthrough in simulation technology will reduce the time for computing such complex contracts and the measurement of risk for large nonlinear portfolios from several hours down to seconds.","University of Technology, Sydney","Prof Eckhard Platen; TBA Research-Student","parallel Monte Carlo simulation; valuation and risk measurement; superannuation; insurance; benchmark approach; variance reduction;"
"ROU 51537",,2009,"Asian Legal Information Institutes for India and South Asia",,"University of Technology, Sydney","Prof Andrew S Mowbray",
ADRA0800214,,2009,"Making the Invisible Visible: Documenting Successes, Enablers & Measures of Engendering Water & Sanitation Initiatives in the Pacific to Inform Policy & Practice",,"University of Technology, Sydney","Dr Juliet R Willetts; Ms Adizatu Yunusa; Mr Mark Berlage",
LP120200117,2011,2012,"Talking Fish: researching oral history and local knowledge in building community participation in Murray-Darling Basin river rehabilitation","Recreational, commercial and sustenance fishers all provide unique insight into changes in Murray-Darling River environments. Recording and analysing the memories of local people, including gender, ethnic and cultural categories, will assist policy makers to develop solutions to urgent environmental and social problems. We will focus on 15 diverse fishing communities across the Basin to ensure a regional basis for comparative and cross-cultural analysis of everyday fishing practices. Scientific and historical researchers will work together to provide new tools to managers and local communities facilitating increased participation in river rehabilitation.","University of Technology, Sydney","Prof Heather Goodall; Dr Jodie Elizabeth Frawley","fishing,oral history,Murray Darling Basin,Aboriginal,local communities"
1010197,2010,2011,"Prevention of beta cell destruction in type 1 diabetes by immunotherapy using parasite-derived molecules",,"University of Technology, Sydney","A/Prof Bronwyn O'Brien; Dr Sheila M Donnelly; Prof John P Dalton; Dr Mark W Robinson; Prof Ann M Simpson; Dr Yvonne Cheng; Ms Olivia Parker",
ID11-1963,,2011,"A shared, applied epistemology for competency in computer programming",,"University of Technology, Sydney","Dr Raymond F Lister",
0298260,2012,2012,"EO - Jamie Axelson - Claim for damages for personal injuries: investigation of trampolining accident",,"University of Technology, Sydney","A/Prof David M Eager; Ms Debra Johnson; Mr Craig Mackie",
DP0988103,,2009,"The legal function of serious disability in prenatal and neonatal health care settings",,"University of Technology, Sydney","Prof Isabel A Karpin",
DP0986785,2008,2009,"Patient waiting times at public hospitals and the demand for private care","Reducing public hospital waiting times is the central issue in the Australian health care debate. Subsidies to private health insurance and increased expenditures to shorten waiting times both aim to ease pressure on the public hospital system. However there is no empirical evidence to support the relative equity or efficiency merits of alternative policies. This study will develop an empirical model of expected waiting times and estimate the impact of waiting times on insurance purchase and hospital choice. The model will be used to evaluate the effectiveness of alternative policies to improve access to public hospital care, a key factor in the National Priority of promoting and maintaining good health.","University of Technology, Sydney","Prof Elizabeth J Savage; Prof Michael Keane; A/Prof Glenn Jones; Dr Olena Stavrunova","hospital waiting times, private health insurance, health policy, data augmentation, Markov Chain Monte Carlo methods,"
